work_key,subject
OL18020194W,"Fiction, Romance, Contemporary, Life change events"
OL18020194W,Triangles (Interpersonal relations)
OL18020194W,Man-woman relationships
OL18020194W,Neurosurgeons
OL18020194W,First loves
OL18020194W,Businesswomen
OL18020194W,Fiction
OL18020194W,Contemporary Women
OL18020194W,New York Times bestseller
OL18020194W,"Fiction, romance, contemporary"
OL18020194W,"Man-woman relationships, fiction"
OL18020194W,"Fiction, women"
OL18020194W,collectionid:nyt2020s
OL18020194W,"Fiction, romance, new adult"
OL24390422W,"Fiction, romance, multicultural & interracial"
OL24390422W,"Fiction, romance, new adult"
OL24390422W,"Fiction, romance, contemporary"
OL24390422W,nyt:combined-print-and-e-book-fiction=2023-07-02
OL24390422W,New York Times bestseller
OL24390422W,Romance
OL24390422W,contemporary romance
OL24390422W,new adult romance
OL24390422W,brother's best friend
OL24390422W,forbidden love
OL24390422W,dark romance
OL24390422W,grumpy-sunshine
OL24390422W,angst
OL24390422W,love triangle
OL24390422W,self-discovery
OL24390422W,redemption
OL24390422W,Serie:Twisted
OL35223328W,Romance
OL35223328W,"Fiction, romance, contemporary"
OL35223328W,"Fiction, romance, billionaires"
OL34774028W,"Fiction, fantasy, general"
OL34774028W,"Fiction, romance, general"
OL34774028W,"Fiction, general"
OL20808172W,Romance
OL20808172W,New Adult
OL20808172W,Contemporary
OL20808172W,Young Adult
OL20808172W,Contemporary Romance
OL20808172W,High School
OL20808172W,Fiction
OL20808172W,Adult
OL20808172W,Dark
OL20808172W,"Fiction, romance, general"
OL20808172W,"Fiction, thrillers, suspense"
OL25515697W,Romance
OL25515697W,contemporary romance
OL25515697W,romantic suspense
OL25515697W,new adult romance
OL25515697W,forbidden love
OL25515697W,bodyguard romance
OL25515697W,dark romance
OL25515697W,enemies to lovers
OL25515697W,slow burn
OL25515697W,angst
OL25515697W,steamy
OL25515697W,"Fiction, romance, general"
OL25515697W,"Fiction, general"
OL25515697W,Serie:Twisted
OL25515697W,anthology
OL25515697W,Anthologie
OL25515697W,book_set
OL20090688W,"Fiction, gay"
OL20090688W,"Fiction, romance, contemporary"
OL20090688W,"Fiction, humorous"
OL20090688W,"Gay men, fiction"
OL20090688W,"Presidents, united states, fiction"
OL20090688W,nyt:trade-fiction-paperback=2019-06-02
OL20090688W,New York Times bestseller
OL20090688W,fiction
OL20090688W,humor
OL20090688W,romance
OL20090688W,LGBTQ romance
OL20090688W,"Fiction, lgbtq+, gay"
OL20090688W,"Fiction, humorous, general"
OL20090688W,Bisexuals
OL20090688W,Fiction
OL20090688W,Bisexual men
OL20090688W,Gay men
OL20090688W,Presidents
OL20090688W,Family
OL20090688W,Princes
OL20090688W,Children of heads of state
OL20564687W,"Fiction, Romance, Contemporary, Life change events"
OL20564687W,Life change events
OL20564687W,Fiction
OL20564687W,"Fiction, romance, general"
OL27245843W,Romance
OL27245843W,enemies to lovers
OL27245843W,contemporary romance
OL27245843W,new adult
OL27245843W,office romance
OL27245843W,forbidden love
OL27245843W,angst
OL27245843W,steamy romance
OL27245843W,alpha male
OL27245843W,strong female lead
OL27245843W,slow burn
OL27245843W,"Fiction, romance, general"
OL27245843W,"Fiction, general"
OL27245843W,Serie:Twisted
OL2959315W,"Fiction, Romance, Contemporary"
OL2959315W,Fiction
OL2959315W,Romance
OL2959315W,"Contemporary"""
OL27733867W,Contemporary
OL27733867W,Romance
OL27733867W,Friendship
OL27733867W,Fiction
OL27733867W,Young Adult Fiction
OL27733867W,collectionid:nyt2020s
OL27733867W,American literature
OL27733867W,contemporary romance
OL27733867W,new adult
OL27733867W,domestic violence
OL27733867W,second chance romance
OL27733867W,forbidden love
OL27733867W,family
OL27733867W,forgiveness
OL27733867W,redemption
OL27733867W,healing
OL27733867W,self-discovery
OL27310398W,collectionID:YDarkromance
OL27310398W,"Fiction, romance, general"
OL27310398W,"Fiction, thrillers, suspense"
OL27310398W,"Young adult fiction, romance, general"
OL27310398W,"Young adult fiction, fantasy, dark fantasy"
OL27310398W,nyt:trade-fiction-paperback=2024-09-15
OL27310398W,New York Times bestseller
OL11327658W,"Fiction, Romance, Contemporary"
OL11327658W,"Fiction, romance, general"
